ASIN	ASIN Description	GL CODE	Produce Group Label	Category Code	Category Label	Subcategory Code	Subcategory Label	Brand Name	Item Name
B004IN8YPS	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Tasty Treasures With Chicken & Tuna and Scallop Flavor - (24) 5.5 oz. Cans
B004IN8YQM	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Tasty Treasures With Ocean Fish & Tuna and Scallop Flavor - (24) 5.5 oz. Cans
B004INAQNG	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Tasty Treasures With Turkey & Liver - (24) 5.5 oz. Cans
B004INEW6S	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food Variety Pack, Gravy Sensations Surfin' & Turfin' Pouches - (12) 3 oz. Pouches
B004INIUQQ	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Tasty Treasures With Chicken & Cheese - (24) 5.5 oz. Cans
B004NDDFMK	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Indoor Dry Cat Food, Indoor Delights - 16 lb. Bag
B004P888AW	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Sea Captain's Choice - (24) 5.5 oz. Cans
B004P8CK9M	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Meaty Bits Gourmet Grill in Gravy Adult Wet Cat Food - (24) 5.5 oz. Cans
B005OCXRRW	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food Variety Pack, Shreds Beef, Chicken and Turkey & Cheese Dinner - (24) 5.5 oz. Cans (50000579198)
B005XVZXOY	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Dry Cat Food, Surfin' & Turfin' Favorites - (12) 16.2 oz. Boxes (050000100361)
B0061LRUI2	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Shreds With Turkey & Giblets in Gravy - (24) 5.5 oz. Cans
B0061LRULE	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Wet Cat Food, Shreds With Whitefish & Sardines in Sauce - (24) 5.5 oz. Cans
B006FS06PA	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Friskies Party Mix Cat Treats, Cheezy Craze Crunch, Cheddar, Swiss & Monterey Jack Flavors, 6-Ounce Pouch, Pack Of 7
B006FTJ0NI	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food Variety Pack, Tasty Treasures Prime Filets - (12) 5.5 oz. Cans
B006J18AII	325>32500800>32500882	325	Grocery	32500800	0800 Grocery	32500882	0882 Pet - Moist Cat Food & Treats	Purina Friskies	Friskies Party Mix Beachside Crunch, 2.1 Oz
B006JG483O	325>32500800>32500882	325	Grocery	32500800	0800 Grocery	32500882	0882 Pet - Moist Cat Food & Treats	Purina Friskies	Friskies Prime Filets SURF 3-Flavor Variety Pack Can Cat Food, 8.25 lb ( 24/5.5 oz. cans)
B0085JN38E	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Tasty Treasures With Liver & Beef - (24) 5.5 oz. Cans
B0085JN3C0	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Tasty Treasures With Chicken & Ocean Fish and Scallop Flavor - (24) 5.5 oz. Cans
B0085JN3ES	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Tasty Treasures Ocean Fish Dinner With Cheese - (24) 5.5 oz. Cans
B0085JN424	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Tasty Treasures With Liver, Turkey & Chicken - (24) 5.5 oz. Cans
B008VSXZ3C	199>19900100>19900103	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900103	0103 Dog Dehydrated & Freeze-Dried Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Turkey & Giblets Dinner - 13 oz. Cans (Pack of 12)
